,"Project title",Country,"Project status",Themes,"Multi sites","Bank and bed modifications measure","River corridor measure","Channel pattern measure","Other technical measure","Management interventions","Social measure","Wider engagement measure"
"Case study:""Rio Verde II"". Restoration of riparian forest and the rivers Llobregat and Cardener","""Rio Verde II"". Restoration of riparian forest and the rivers Llobregat and Cardener",Spain,Complete,"Environmental flows and water resources,Habitat and biodiversity,Hydromorphology",No,"Revetmens with local species,Bank stabilisation,New bioengineering elements in order to stabilize slope banks","Riparian planting",,,,,
"Case study:Aaijen- Removal of bank fixation","Aaijen- Removal of bank fixation",Netherlands,Complete,"Flood risk management,Monitoring,Water quality",No,"Removal of bank reinforcements",,,,,,
"Case study:Actions for environmental regeneration and flow control in Odra's Basin, Burgos","Actions for environmental regeneration and flow control in Odra's Basin, Burgos",Spain,Complete,"Environmental flows and water resources,Habitat and biodiversity,Hydromorphology",No,"Revetmens with local species,Removal of sediment,Bank reprofiling","Removal of rubbish",,,,,
"Case study:Aesthetic vs. functional restoration of urban and peri-urban rivers: the Manzanares River in Madrid","Aesthetic vs. functional restoration of urban and peri-urban rivers: the Manzanares River in Madrid",Spain,"In progress","Environmental flows and water resources,Habitat and biodiversity,Hydromorphology,Land use management - forestry,Social benefits,Urban",No,"Creation of ramp","Reforestation and restoration of watercourses,Develop riparian forest,Riparian planting",,,,"Awareness raising by a sign",
"Case study:Amerongse Bovenpolder","Amerongse Bovenpolder",Netherlands,"In progress","Habitat and biodiversity,Social benefits",No,,,,,,,
"Case study:Bakenhof Dyke reconstruction","Bakenhof Dyke reconstruction",Netherlands,Complete,"Flood risk management,Habitat and biodiversity",No,"creation of secondary channel","Creation of backwaters",,,,,
"Case study:Basic proposals for restoration and enhancement of the stream of Vilamajor in Sant Antoni de Vilamajor","Basic proposals for restoration and enhancement of the stream of Vilamajor in Sant Antoni de Vilamajor",Spain,Complete,"Environmental flows and water resources,Habitat and biodiversity,Hydromorphology",No,"New bioengineering elements in order to stabilize slope banks","Protect/restore riparian zone","Works to safeguard the bridge",,,,
"Case study:Bastion Maria (QUERCUS)","Bastion Maria (QUERCUS)",Netherlands,Complete,"Economic aspects,Social benefits,Water quality,Urban",No,,,,,,Recreation,"Restored historical feature"
"Case study:Beek Lage Raam","Beek Lage Raam",Netherlands,"In progress","Habitat and biodiversity,Land use management - forestry,Peat",No,Stroombaanmaaien,,,,,,
"Case study:Beekherstel Beekloop BmN","Beekherstel Beekloop BmN","Netherlands,Belgium",Complete,"Environmental flows and water resources,Flood risk management,Habitat and biodiversity,Hydromorphology,Water quality",No,"Dood hout,6 Vispassages,Beschaduwing",,,,,,"Afspraken met belanghebbende over waterverdeling"
